yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,locationid,topicid,questionid,responseid,datavaluetypeid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2015,2019,UT,Utah,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Crude Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-111.58713063499971 39.360700171000474),49,CAN,CAN05,,CRDRATE,RACE,BLK,,,
2016,2020,IN,Indiana,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,13,13,,,9.8,16.9,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-86.14996019399968 39.766910452000445),18,CAN,CAN04,,AGEADJRATE,RACE,API,,,,
2015,2019,ID,Idaho,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-114.3637300419997 43.682630005000476),16,CAN,CAN03,,AGEADJRATE,RACE,API,,,
2015,2019,NM,New Mexico,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-106.24058098499967 34.52088095200048),35,CAN,CAN03,,AGEADJRATE,RACE,AIAN,,,
2015,2019,MO,Missouri,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-92.56630005299968 38.635790776000476),29,CAN,CAN03,,CRDRATE,RACE,HIS,,,
2016,2020,IA,Iowa,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,31.8,31.8,,,30.8,32.9,Sex,Female,,,,,POINT (-93.81649055599968 42.46940091300047),19,CAN,CAN04,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,NM,New Mexico,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,372.7,372.7,,,369.3,376.2,Overall,Overall,,,,,POINT (-106.24058098499967 34.52088095200048),35,CAN,CAN07,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,WY,Wyoming,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Sex,Male,,,,,POINT (-108.10983035299967 43.23554134300048),56,CAN,CAN03,,AGEADJRATE,SEX,SEXM,,,
2015,2019,WA,Washington,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,14.3,14.3,,,12,16.9,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-120.47001078999972 47.52227862900048),53,CAN,CAN01,,AGEADJRATE,RACE,BLK,,,,
2016,2020,CO,Colorado,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,1.5,1.5,,,1.4,1.8,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN03,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,SD,South Dakota,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,Number,Number,6,6,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),46,CAN,CAN03,,NMBR,RACE,WHT,,,,
2015,2019,MA,Massachusetts,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,415.7,415.7,,,407.3,424.1,Race/Ethnicity,Hispanic,,,,,POINT (-72.08269067499964 42.27687047000046),25,CAN,CAN07,,AGEADJRATE,RACE,HIS,,,,
2016,2020,LA,Louisiana,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,16.2,16.2,,,15.3,17.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-92.44568007099969 31.31266064400046),22,CAN,CAN05,,AGEADJRATE,RACE,WHT,,,,
2015,2019,US,United States,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,15.4,15.4,,,14.4,16.4,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,,59,CAN,CAN02,,AGEADJRATE,RACE,AIAN,,,,
2016,2020,IN,Indiana,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,44.9,44.9,,,44.2,45.6,Overall,Overall,,,,,POINT (-86.14996019399968 39.766910452000445),18,CAN,CAN04,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,MS,Mississippi,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-89.53803082499968 32.745510099000455),28,CAN,CAN02,,AGEADJRATE,RACE,API,,,
2015,2019,GA,Georgia,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,42.8,42.8,,,42.1,43.4,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-83.62758034599966 32.83968109300048),13,CAN,CAN04,,AGEADJRATE,RACE,WHT,,,,
2015,2019,MD,Maryland,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,19.5,19.5,,,18.7,20.3,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-76.60926011099963 39.29058096400047),24,CAN,CAN02,,AGEADJRATE,RACE,WHT,,,,
2015,2019,HI,Hawaii,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),15,CAN,CAN08,,AGEADJRATE,RACE,AIAN,,,
2016,2020,GA,Georgia,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,7.8,7.8,,,6.6,9.3,Race/Ethnicity,Hispanic,,,,,POINT (-83.62758034599966 32.83968109300048),13,CAN,CAN01,,AGEADJRATE,RACE,HIS,,,,
2015,2019,IL,Illinois,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,Number,Number,114,114,,,,,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-88.99771017799969 40.48501028300046),17,CAN,CAN04,,NMBR,RACE,API,,,,
2016,2020,MA,Massachusetts,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,23.3,23.3,,,21.1,25.7,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-72.08269067499964 42.27687047000046),25,CAN,CAN04,,AGEADJRATE,RACE,API,,,,
2015,2019,PA,Pennsylvania,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,Number,Number,24623,24623,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-77.86070029399963 40.79373015200048),42,CAN,CAN08,,NMBR,RACE,WHT,,,,
2016,2020,ME,Maine,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,140.8,140.8,,,137.5,144.1,Sex,Female,,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN08,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,MN,Minnesota,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,1.2,1.2,,,1,1.4,Sex,Female,,,,,POINT (-94.79420050299967 46.35564873600049),27,CAN,CAN03,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,MS,Mississippi,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,661.9,661.9,,,656.5,667.4,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-89.53803082499968 32.745510099000455),28,CAN,CAN07,,CRDRATE,RACE,WHT,,,,
2015,2019,AZ,Arizona,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,491.7,491.7,,,488.4,495,Sex,Male,,,,,POINT (-111.76381127699972 34.865970280000454),4,CAN,CAN07,,CRDRATE,SEX,SEXM,,,,
2015,2019,NH,New Hampshire,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-71.50036091999965 43.65595011300047),33,CAN,CAN02,,AGEADJRATE,RACE,AIAN,,,
2015,2019,MI,Michigan,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,7.4,7.4,,,5,10.5,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN05,,AGEADJRATE,RACE,API,,,,
2016,2020,MI,Michigan,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Sex,Male,,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN03,,AGEADJRATE,SEX,SEXM,,,
2015,2019,FL,Florida,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,,,~,Data suppressed, too few respondents or cases,,,Sex,Male,,,,,POINT (-81.92896053899966 28.932040377000476),12,CAN,CAN02,,CRDRATE,SEX,SEXM,,,
2015,2019,RI,Rhode Island,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,5659,5659,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-71.52247031399963 41.70828019300046),44,CAN,CAN07,,NMBR,RACE,WHT,,,,
2015,2019,CT,Connecticut,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,18.1,18.1,,,17.2,18.9,Overall,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),9,CAN,CAN05,,AGEADJRATE,OVERALL,OVR,,,,
2016,2020,GA,Georgia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,646,646,,,643,649,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-83.62758034599966 32.83968109300048),13,CAN,CAN07,,CRDRATE,RACE,WHT,,,,
2016,2020,DC,District of Columbia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,136.3,136.3,,,131.1,141.7,Sex,Female,,,,,POINT (-77.036871 38.907192),11,CAN,CAN08,,AGEADJRATE,SEX,SEXF,,,,
2016,2020,NH,New Hampshire,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-71.50036091999965 43.65595011300047),33,CAN,CAN01,,CRDRATE,RACE,BLK,,,
2016,2020,MI,Michigan,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Sex,Female,,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN05,,AGEADJRATE,SEX,SEXF,,,
2015,2019,AZ,Arizona,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,11.3,11.3,,,9.8,13,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-111.76381127699972 34.865970280000454),4,CAN,CAN01,,CRDRATE,RACE,BLK,,,,
2015,2019,MA,Massachusetts,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,444.7,444.7,,,441.8,447.5,Sex,Female,,,,,POINT (-72.08269067499964 42.27687047000046),25,CAN,CAN07,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,NV,Nevada,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,22,22,,,21,23,Overall,Overall,,,,,POINT (-117.07184056399967 39.493240390000494),32,CAN,CAN02,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,MN,Minnesota,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,103.6,103.6,,,94,113.8,Race/Ethnicity,Hispanic,,,,,POINT (-94.79420050299967 46.35564873600049),27,CAN,CAN08,,AGEADJRATE,RACE,HIS,,,,
2016,2020,MO,Missouri,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,13.7,13.7,,,13.3,14.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-92.56630005299968 38.635790776000476),29,CAN,CAN01,,AGEADJRATE,RACE,WHT,,,,
2016,2020,CA,California,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,14.1,14.1,,,13.8,14.5,Race/Ethnicity,Hispanic,,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN04,,AGEADJRATE,RACE,HIS,,,,
2016,2020,AZ,Arizona,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,16.1,16.1,,,15.1,17.1,Race/Ethnicity,Hispanic,,,,,POINT (-111.76381127699972 34.865970280000454),4,CAN,CAN04,,AGEADJRATE,RACE,HIS,,,,
2016,2020,FL,Florida,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,243.7,243.7,,,238.5,248.9,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-81.92896053899966 28.932040377000476),12,CAN,CAN07,,AGEADJRATE,RACE,API,,,,
2016,2020,MD,Maryland,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Sex,Male,,,,,POINT (-76.60926011099963 39.29058096400047),24,CAN,CAN03,,AGEADJRATE,SEX,SEXM,,,
2016,2020,KS,Kansas,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-98.20078122699965 38.34774030000045),20,CAN,CAN03,,AGEADJRATE,RACE,API,,,
2016,2020,LA,Louisiana,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,422.3,422.3,,,418.9,425.8,Sex,Female,,,,,POINT (-92.44568007099969 31.31266064400046),22,CAN,CAN07,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,GA,Georgia,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,2.3,2.3,,,2.2,2.5,Overall,Overall,,,,,POINT (-83.62758034599966 32.83968109300048),13,CAN,CAN03,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,OH,Ohio,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,Number,Number,,,~,Data suppressed, too few respondents or cases,,,Sex,Male,,,,,POINT (-82.40426005599966 40.06021014100048),39,CAN,CAN03,,NMBR,SEX,SEXM,,,
2016,2020,KS,Kansas,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Sex,Male,,,,,POINT (-98.20078122699965 38.34774030000045),20,CAN,CAN03,,AGEADJRATE,SEX,SEXM,,,
2015,2019,RI,Rhode Island,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-71.52247031399963 41.70828019300046),44,CAN,CAN04,,AGEADJRATE,RACE,AIAN,,,
2016,2020,GA,Georgia,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,15.7,15.7,,,13.7,17.8,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-83.62758034599966 32.83968109300048),13,CAN,CAN04,,AGEADJRATE,RACE,API,,,,
2015,2019,MD,Maryland,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,35.2,35.2,,,34.6,35.8,Overall,Overall,,,,,POINT (-76.60926011099963 39.29058096400047),24,CAN,CAN04,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,LA,Louisiana,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,560.1,560.1,,,555.9,564.4,Sex,Male,,,,,POINT (-92.44568007099969 31.31266064400046),22,CAN,CAN07,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,VA,Virginia,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,15.5,15.5,,,15.1,15.9,Overall,Overall,,,,,POINT (-78.45789046299967 37.54268067400045),51,CAN,CAN01,,CRDRATE,OVERALL,OVR,,,,
2016,2020,NH,New Hampshire,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,49.3,49.3,,,40.3,59.7,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-71.50036091999965 43.65595011300047),33,CAN,CAN08,,CRDRATE,RACE,API,,,,
2016,2020,DC,District of Columbia,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-77.036871 38.907192),11,CAN,CAN05,,AGEADJRATE,RACE,HIS,,,
2015,2019,WA,Washington,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,19.5,19.5,,,18.9,20.1,Overall,Overall,,,,,POINT (-120.47001078999972 47.52227862900048),53,CAN,CAN02,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,WI,Wisconsin,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,32,32,,,31.2,32.8,Sex,Female,,,,,POINT (-89.81637074199966 44.39319117400049),55,CAN,CAN04,,AGEADJRATE,SEX,SEXF,,,,
2016,2020,CO,Colorado,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,154.4,154.4,,,146.3,162.9,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN08,,AGEADJRATE,RACE,BLK,,,,
2015,2019,IN,Indiana,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,3.1,3.1,,,1.9,4.7,Race/Ethnicity,Hispanic,,,,,POINT (-86.14996019399968 39.766910452000445),18,CAN,CAN03,,AGEADJRATE,RACE,HIS,,,,
2016,2020,AK,Alaska,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,1.7,1.7,,,1.1,2.4,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),2,CAN,CAN03,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,KY,Kentucky,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,18.3,18.3,,,17.6,19.1,Sex,Female,,,,,POINT (-84.77497104799966 37.645970271000465),21,CAN,CAN01,,CRDRATE,SEX,SEXF,,,,
2015,2019,DE,Delaware,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,Number,Number,,,~,Data suppressed, too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-75.57774116799965 39.008830667000495),10,CAN,CAN03,,NMBR,RACE,HIS,,,
2015,2019,UT,Utah,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,16.9,16.9,,,16.2,17.6,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-111.58713063499971 39.360700171000474),49,CAN,CAN04,,CRDRATE,RACE,WHT,,,,
2015,2019,CO,Colorado,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,9.5,9.5,,,7.4,11.9,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN01,,AGEADJRATE,RACE,API,,,,
2016,2020,IN,Indiana,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,,,~~,Data cannot be calculated,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-86.14996019399968 39.766910452000445),18,CAN,CAN07,,AGEADJRATE,RACE,AIAN,,,,
2016,2020,ME,Maine,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,Number,Number,9,9,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN08,,NMBR,RACE,HIS,,,,
2016,2020,CT,Connecticut,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,1.2,1.2,,,0.9,1.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-72.64984095199964 41.56266102000046),9,CAN,CAN03,,AGEADJRATE,RACE,WHT,,,,
2015,2019,NM,New Mexico,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,Number,Number,126,126,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-106.24058098499967 34.52088095200048),35,CAN,CAN05,,NMBR,RACE,WHT,,,,
2015,2019,OR,Oregon,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,1.9,1.9,,,1.7,2.2,Sex,Female,,,,,POINT (-120.15503132599969 44.56744942400047),41,CAN,CAN03,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,MS,Mississippi,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,Number,Number,29,29,,,,,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-89.53803082499968 32.745510099000455),28,CAN,CAN08,,NMBR,RACE,API,,,,
2016,2020,IA,Iowa,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,19.5,19.5,,,13.5,27.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-93.81649055599968 42.46940091300047),19,CAN,CAN02,,AGEADJRATE,RACE,BLK,,,,
2015,2019,CO,Colorado,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed, too few respondents or cases,,,Sex,Male,,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN03,,AGEADJRATE,SEX,SEXM,,,
2015,2019,KY,Kentucky,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,2.9,2.9,,,2.6,3.3,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-84.77497104799966 37.645970271000465),21,CAN,CAN03,,AGEADJRATE,RACE,WHT,,,,
2016,2020,CA,California,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,2.7,2.7,,,1.5,4.5,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN03,,AGEADJRATE,RACE,AIAN,,,,
2016,2020,MO,Missouri,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Crude Rate,19.4,19.4,,,18.7,20.1,Overall,Overall,,,,,POINT (-92.56630005299968 38.635790776000476),29,CAN,CAN05,,CRDRATE,OVERALL,OVR,,,,
2015,2019,MO,Missouri,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,38.7,38.7,,,37.9,39.6,Sex,Female,,,,,POINT (-92.56630005299968 38.635790776000476),29,CAN,CAN04,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,WV,West Virginia,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,Number,Number,34,34,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-80.71264013499967 38.66551020200046),54,CAN,CAN04,,NMBR,RACE,BLK,,,,
2016,2020,HI,Hawaii,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,407,407,,,402.7,411.3,Overall,Overall,,,,,POINT (-157.85774940299973 21.304850435000446),15,CAN,CAN07,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,MD,Maryland,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,20.3,20.3,,,19.5,21.1,Sex,Male,,,,,POINT (-76.60926011099963 39.29058096400047),24,CAN,CAN05,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,MI,Michigan,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,17.1,17.1,,,16.8,17.5,Overall,Overall,,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN01,,CRDRATE,OVERALL,OVR,,,,
2015,2019,AK,Alaska,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,171.7,171.7,,,164.6,179.1,Sex,Male,,,,,POINT (-147.72205903599973 64.84507995700051),2,CAN,CAN08,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,AR,Arkansas,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,531.1,531.1,,,491.5,573,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),5,CAN,CAN07,,CRDRATE,RACE,AIAN,,,,
2015,2019,MN,Minnesota,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,Number,Number,,,~,Data suppressed, too few respondents or cases,,,Sex,Female,,,,,POINT (-94.79420050299967 46.35564873600049),27,CAN,CAN05,,NMBR,SEX,SEXF,,,
